resp_id ,project_id,status_of_contact
VN02000000000001,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000002,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000003,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000004,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000006,PVN2020XXX_BEANBOX,OK
VN02000000000010,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000011,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000012,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000013,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000014,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000015,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000016,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000017,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000018,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000019,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000020,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000021,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000022,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000023,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000024,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000025,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000026,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000028,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000029,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000030,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000031,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000032,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000033,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000034,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000035,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000036,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000037,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000038,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000039,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000040,PVN2020XXX_BEANBOX,Đáp viên hẹn gọi lại sau
VN02000000000041,PVN2020XXX_BEANBOX,OK
VN02000000000045,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000047,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000048,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000049,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000050,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000051,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000052,PVN2020XXX_BEANBOX,Đáp viên không thỏa điều kiện
VN02000000000053,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000054,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000055,PVN2020XXX_BEANBOX,Đáp viên từ chối phỏng vấn
VN02000000000056,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000057,PVN2020XXX_BEANBOX,Số điện thoại không đúng
VN02000000000058,PVN2020XXX_BEANBOX,OK
VN02000000000062,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000063,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
VN02000000000064,PVN2020XXX_BEANBOX,Không trả lời/ Không bắt máy
